t,year,market_units,share_nominal,share_effective,sales_units,asp_gbp,revenue_gbp,lost_demand_units,alloc_Tesla,alloc_BMW,alloc_Mercedes,alloc_Audi
0,2024,14166.666666666666,0.0,0.0,0.0,123287.47258267156,0.0,0.0,0.0,0.0,0.0,0.0
1,2024,14166.666666666666,0.0,0.0,0.0,119266.54127702463,0.0,0.0,0.0,0.0,0.0,0.0
2,2024,14166.666666666666,0.0,0.0,0.0,124303.17503893659,0.0,0.0,0.0,0.0,0.0,0.0
3,2024,14166.666666666666,0.0,0.0,0.0,122368.41634871236,0.0,0.0,0.0,0.0,0.0,0.0
4,2024,14166.666666666666,0.0,0.0,0.0,115130.12817465179,0.0,0.0,0.0,0.0,0.0,0.0
5,2024,14166.666666666666,0.0,0.0,0.0,125707.46821964109,0.0,0.0,0.0,0.0,0.0,0.0
6,2024,14166.666666666666,0.0,0.0,0.0,123133.67642388424,0.0,0.0,0.0,0.0,0.0,0.0
7,2024,14166.666666666666,0.0,0.0,0.0,123432.77166332345,0.0,0.0,0.0,0.0,0.0,0.0
8,2024,14166.666666666666,0.0,0.0,0.0,115537.36359210654,0.0,0.0,0.0,0.0,0.0,0.0
9,2024,14166.666666666666,0.0,0.0,0.0,119404.63125474681,0.0,0.0,0.0,0.0,0.0,0.0
10,2024,14166.666666666666,0.0,0.0,0.0,118449.57629079097,0.0,0.0,0.0,0.0,0.0,0.0
11,2024,14166.666666666666,0.0,0.0,0.0,125121.17986618323,0.0,0.0,0.0,0.0,0.0,0.0
12,2025,15583.333333333334,0.0,0.0,0.0,121726.38144096796,0.0,0.0,0.0,0.0,0.0,0.0
13,2025,15583.333333333334,0.0,0.0,0.0,123873.13935924997,0.0,0.0,0.0,0.0,0.0,0.0
14,2025,15583.333333333334,0.0,0.0,0.0,119320.97038592797,0.0,0.0,0.0,0.0,0.0,0.0
15,2025,15583.333333333334,0.0,0.0,0.0,116726.86466141732,0.0,0.0,0.0,0.0,0.0,0.0
16,2025,15583.333333333334,0.0,0.0,0.0,120655.01744419002,0.0,0.0,0.0,0.0,0.0,0.0
17,2025,15583.333333333334,0.0,0.0,0.0,114765.8070732501,0.0,0.0,0.0,0.0,0.0,0.0
18,2025,15583.333333333334,0.0,0.0,0.0,123931.57406391099,0.0,0.0,0.0,0.0,0.0,0.0
19,2025,15583.333333333334,0.0,0.0,0.0,121579.97278946478,0.0,0.0,0.0,0.0,0.0,0.0
20,2025,15583.333333333334,0.0,0.0,0.0,123097.05288102447,0.0,0.0,0.0,0.0,0.0,0.0
21,2025,15583.333333333334,0.0,0.0,0.0,118254.31161755841,0.0,0.0,0.0,0.0,0.0,0.0
22,2025,15583.333333333334,0.0,0.0,0.0,125648.37629273886,0.0,0.0,0.0,0.0,0.0,0.0
23,2025,15583.333333333334,0.0,0.0,0.0,124717.45345586637,0.0,0.0,0.0,0.0,0.0,0.0
24,2026,17000.0,0.0,0.0,0.0,123340.60196488515,0.0,141.66666666666666,24.8625,11.05,9.208333333333334,7.366666666666666
25,2026,17000.0,0.0,0.0,0.0,116335.6644942236,0.0,283.3333333333333,49.725,22.1,18.416666666666668,14.733333333333333
26,2026,17000.0,0.0,0.0,0.0,119600.65204472441,0.0,425.0,74.5875,33.15,27.625,22.1
27,2026,17000.0,0.0,0.0,0.0,114525.64518944675,0.0,566.6666666666666,99.45,44.2,36.833333333333336,29.466666666666665
28,2026,17000.0,0.0,0.0,0.0,115851.47390481057,0.0,708.3333333333334,124.31250000000003,55.25,46.04166666666667,36.833333333333336
29,2026,17000.0,0.0,0.0,0.0,122196.58743890947,0.0,850.0,149.175,66.3,55.25,44.2
30,2026,17000.0,0.0,0.0,0.0,122937.14587089382,0.0,991.6666666666669,174.03750000000005,77.35000000000001,64.45833333333334,51.566666666666684
31,2026,17000.0,0.0,0.011666666666666667,198.33333333333334,125610.11678921053,24912673.163193423,1133.3333333333333,198.9,88.4,73.66666666666667,58.93333333333333
32,2026,17000.0,0.008333333333333333,0.02,340.0,117909.90429765782,40089367.46120366,1133.3333333333335,198.90000000000003,88.4,73.66666666666669,58.933333333333344
33,2026,17000.0,0.016666666666666666,0.028333333333333335,481.6666666666667,118445.51647241843,57051257.10088155,1133.3333333333335,198.90000000000003,88.4,73.66666666666669,58.933333333333344
34,2026,17000.0,0.025,0.03666666666666667,623.3333333333334,119634.6697353097,74572277.46834305,1133.3333333333335,198.90000000000003,88.4,73.66666666666669,58.933333333333344
35,2026,17000.0,0.03333333333333333,0.045,765.0,116273.65630901142,88949347.07639374,1133.3333333333335,198.90000000000003,88.4,73.66666666666669,58.933333333333344
36,2027,14166.666666666666,0.04166666666666667,0.05566666666666667,788.6111111111111,115559.05806402565,91131157.17882468,826.3888888888889,145.03125000000003,64.45833333333334,53.715277777777786,42.97222222222223
37,2027,14166.666666666666,0.05,0.064,906.6666666666666,119708.45911471121,108535669.59733815,708.3333333333334,124.31250000000003,55.25,46.04166666666667,36.833333333333336
38,2027,14166.666666666666,0.05833333333333334,0.07233333333333335,1024.7222222222224,116722.91218861061,119608561.9621624,590.2777777777777,103.59375,46.041666666666664,38.36805555555555,30.694444444444446
39,2027,14166.666666666666,0.06666666666666667,0.08066666666666666,1142.7777777777776,122037.76793619012,139462049.24707946,472.2222222222223,82.87500000000001,36.833333333333336,30.69444444444445,24.55555555555556
40,2027,14166.666666666666,0.07500000000000001,0.08900000000000001,1260.8333333333335,119245.82302646797,150349108.53253838,354.1666666666666,62.15624999999999,27.624999999999993,23.02083333333333,18.41666666666666
