t,year,market_units,share_nominal,share_effective,sales_units,asp_gbp,revenue_gbp,lost_demand_units,alloc_Tesla,alloc_BMW,alloc_Mercedes,alloc_Audi
0,2024,14166.666666666666,0.0,0.0,0.0,123287.47258267156,0.0,0.0,0.0,0.0,0.0,0.0
1,2024,14166.666666666666,0.0,0.0,0.0,119266.54127702463,0.0,0.0,0.0,0.0,0.0,0.0
2,2024,14166.666666666666,0.0,0.0,0.0,124303.17503893659,0.0,0.0,0.0,0.0,0.0,0.0
3,2024,14166.666666666666,0.0,0.0,0.0,122368.41634871236,0.0,0.0,0.0,0.0,0.0,0.0
4,2024,14166.666666666666,0.0,0.0,0.0,115130.12817465179,0.0,0.0,0.0,0.0,0.0,0.0
5,2024,14166.666666666666,0.0,0.0,0.0,125707.46821964109,0.0,0.0,0.0,0.0,0.0,0.0
6,2024,14166.666666666666,0.0,0.0,0.0,123133.67642388424,0.0,0.0,0.0,0.0,0.0,0.0
7,2024,14166.666666666666,0.0,0.0,0.0,123432.77166332345,0.0,0.0,0.0,0.0,0.0,0.0
8,2024,14166.666666666666,0.0,0.0,0.0,115537.36359210654,0.0,0.0,0.0,0.0,0.0,0.0
9,2024,14166.666666666666,0.0,0.0,0.0,119404.63125474681,0.0,0.0,0.0,0.0,0.0,0.0
10,2024,14166.666666666666,0.0,0.0,0.0,118449.57629079097,0.0,0.0,0.0,0.0,0.0,0.0
11,2024,14166.666666666666,0.0,0.0,0.0,125121.17986618323,0.0,0.0,0.0,0.0,0.0,0.0
12,2025,15583.333333333334,0.0,0.0,0.0,121726.38144096796,0.0,0.0,0.0,0.0,0.0,0.0
13,2025,15583.333333333334,0.0,0.0,0.0,123873.13935924997,0.0,0.0,0.0,0.0,0.0,0.0
14,2025,15583.333333333334,0.0,0.0,0.0,119320.97038592797,0.0,0.0,0.0,0.0,0.0,0.0
15,2025,15583.333333333334,0.0,0.0,0.0,116726.86466141732,0.0,0.0,0.0,0.0,0.0,0.0
16,2025,15583.333333333334,0.0,0.0,0.0,120655.01744419002,0.0,0.0,0.0,0.0,0.0,0.0
17,2025,15583.333333333334,0.0,0.0,0.0,114765.8070732501,0.0,0.0,0.0,0.0,0.0,0.0
18,2025,15583.333333333334,0.0,0.0,0.0,123931.57406391099,0.0,0.0,0.0,0.0,0.0,0.0
19,2025,15583.333333333334,0.0,0.0,0.0,121579.97278946478,0.0,0.0,0.0,0.0,0.0,0.0
20,2025,15583.333333333334,0.0,0.0,0.0,123097.05288102447,0.0,0.0,0.0,0.0,0.0,0.0
21,2025,15583.333333333334,0.0,0.0,0.0,118254.31161755841,0.0,0.0,0.0,0.0,0.0,0.0
22,2025,15583.333333333334,0.0,0.0,0.0,125648.37629273886,0.0,0.0,0.0,0.0,0.0,0.0
23,2025,15583.333333333334,0.0,0.0,0.0,124717.45345586637,0.0,0.0,0.0,0.0,0.0,0.0
24,2026,17000.0,0.0,0.0,0.0,123340.60196488515,0.0,169.99999999999997,29.835,13.259999999999998,11.049999999999999,8.839999999999998
25,2026,17000.0,0.0,0.0,0.0,116335.6644942236,0.0,339.99999999999994,59.67,26.519999999999996,22.099999999999998,17.679999999999996
26,2026,17000.0,0.0,0.0,0.0,119600.65204472441,0.0,510.0,89.50500000000001,39.78,33.15,26.520000000000003
27,2026,17000.0,0.0,0.0,0.0,114525.64518944675,0.0,679.9999999999999,119.34,53.03999999999999,44.199999999999996,35.35999999999999
28,2026,17000.0,0.0,0.0,0.0,115851.47390481057,0.0,850.0,149.175,66.3,55.25,44.2
29,2026,17000.0,0.0,0.0,0.0,122196.58743890947,0.0,1020.0,179.01000000000002,79.56,66.3,53.040000000000006
30,2026,17000.0,0.0,0.0,0.0,122937.14587089382,0.0,1190.0,208.84500000000003,92.82,77.35000000000001,61.88
31,2026,17000.0,0.0,0.014,238.0,125610.11678921053,29895207.795832105,1359.9999999999998,238.68,106.07999999999998,88.39999999999999,70.71999999999998
32,2026,17000.0,0.009999999999999998,0.024,408.0,117909.90429765782,48107240.95344439,1360.0,238.68000000000004,106.08,88.4,70.72
33,2026,17000.0,0.019999999999999997,0.033999999999999996,577.9999999999999,118445.51647241843,68461508.52105784,1360.0000000000002,238.68000000000006,106.08000000000001,88.40000000000002,70.72000000000001
34,2026,17000.0,0.03,0.044,748.0,119634.6697353097,89486732.96201165,1359.9999999999998,238.68,106.07999999999998,88.39999999999999,70.71999999999998
35,2026,17000.0,0.039999999999999994,0.05399999999999999,917.9999999999999,116273.65630901142,106739216.49167247,1360.0,238.68000000000004,106.08,88.4,70.72
36,2027,14166.666666666666,0.05,0.0668,946.3333333333333,115559.05806402565,109357388.6145896,991.6666666666665,174.0375,77.34999999999998,64.45833333333333,51.56666666666666
37,2027,14166.666666666666,0.06,0.07680000000000001,1088.0,119708.45911471121,130242803.5168058,849.9999999999999,149.17499999999998,66.3,55.25,44.199999999999996
38,2027,14166.666666666666,0.07,0.08680000000000002,1229.6666666666667,116722.91218861061,143530274.35459486,708.3333333333331,124.31249999999999,55.249999999999986,46.04166666666666,36.83333333333332
39,2027,14166.666666666666,0.07999999999999999,0.0968,1371.3333333333333,122037.76793619012,167354459.0964954,566.6666666666667,99.45000000000002,44.2,36.83333333333334,29.466666666666672
40,2027,14166.666666666666,0.09,0.1068,1513.0,119245.82302646797,180418930.23904604,424.99999999999994,74.58749999999999,33.15,27.625,22.099999999999998
41,2027,14166.666666666666,0.1,0.11680000000000001,1654.6666666666667,123992.13835269406,205165658.26092446,283.3333333333332,49.72499999999998,22.09999999999999,18.41666666666666,14.733333333333327
